# captured 2026-09-22
# exe: /home/ubuntu/.local/bin/flux
# args: 
The get sub-commands print the statuses of Flux resources.

Usage:
  flux get [command]

Available Commands:
  alert-providers Get Provider statuses
  alerts          Get Alert statuses
  all             Get all resources and statuses
  artifacts       Get artifact object status
  helmreleases    Get HelmRelease statuses
  images          Get image automation object status
  kustomizations  Get Kustomization statuses
  receivers       Get Receiver statuses
  sources         Get source statuses

Flags:
  -A, --all-namespaces           list the requested object(s) across all namespaces
  -h, --help                     help for get
  -l, --label-selector string    filter objects by label selector
      --no-header                skip the header when printing the results
      --status-selector string   specify the status condition name and the desired state to filter the get result, e.g. ready=false or ready!=true
  -w, --watch                    After listing/getting the requested object, watch for changes.

Global Flags:
      --as string                      Username to impersonate for the operation. User could be a regular user or a service account in a namespace.
      --as-group stringArray           Group to impersonate for the operation, this flag can be repeated to specify multiple groups.
      --as-uid string                  UID to impersonate for the operation.
      --as-user-extra stringArray      User extras to impersonate for the operation, this flag can be repeated to specify multiple values for the same key.
      --cache-dir string               Default cache directory (default "/home/ubuntu/.kube/cache")
      --certificate-authority string   Path to a cert file for the certificate authority to authenticate the Kubernetes API server
      --client-certificate string      Path to a client certificate file for TLS authentication to the Kubernetes API server
      --client-key string              Path to a client key file for TLS authentication to the Kubernetes API server
      --cluster string                 The name of the kubeconfig cluster to use
      --context string                 The name of the kubeconfig context to use
      --disable-compression            If true, opt-out of response compression for all requests to the server
      --insecure-skip-tls-verify       If true, the Kubernetes API server's certificate will not be checked for validity. This will make your HTTPS connections insecure
      --kube-api-burst int             The maximum burst queries-per-second of requests sent to the Kubernetes API. (default 300)
      --kube-api-qps float32           The maximum queries-per-second of requests sent to the Kubernetes API. (default 50)
      --kubeconfig string              Path to the kubeconfig file to use for CLI requests.
  -n, --namespace string               If present, the namespace scope for this CLI request (default "flux-system")
      --ns-follows-kube-context        use the namespace from the kubeconfig context instead of the default flux-system namespace, can also be set via FLUX_NS_FOLLOWS_KUBE_CONTEXT env var
      --server string                  The address and port of the Kubernetes API server
      --timeout duration               timeout for this operation (default 5m0s)
      --tls-server-name string         Server name to use for server certificate validation. If it is not provided, the hostname used to contact the server is used
      --token string                   Bearer token for authentication to the API server
      --user string                    The name of the kubeconfig user to use
      --verbose                        print generated objects

Use "flux get [command] --help" for more information about a command.
